ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2017,"2017",0,"Total",47656,8633,"Census Tract 294.07, King County, WA","14000US53033029407"
2017,"2017",0,"Total",85895,10341,"Census Tract 226.05, King County, WA","14000US53033022605"
2017,"2017",0,"Total",88854,12811,"Census Tract 66, King County, WA","14000US53033006600"
2017,"2017",0,"Total",95457,6677,"Census Tract 320.05, King County, WA","14000US53033032005"
2017,"2017",0,"Total",47933,10911,"Census Tract 294.08, King County, WA","14000US53033029408"
2017,"2017",0,"Total",108125,14043,"Census Tract 226.04, King County, WA","14000US53033022604"
2017,"2017",0,"Total",106143,9198,"Census Tract 67, King County, WA","14000US53033006700"
2017,"2017",0,"Total",96714,9959,"Census Tract 320.03, King County, WA","14000US53033032003"
2017,"2017",0,"Total",114441,5335,"Census Tract 226.03, King County, WA","14000US53033022603"
2017,"2017",0,"Total",117067,12380,"Census Tract 68, King County, WA","14000US53033006800"
2017,"2017",0,"Total",78621,15467,"Census Tract 295.02, King County, WA","14000US53033029502"
2017,"2017",0,"Total",117500,12757,"Census Tract 225, King County, WA","14000US53033022500"
2017,"2017",0,"Total",109792,17699,"Census Tract 69, King County, WA","14000US53033006900"
2017,"2017",0,"Total",96750,12796,"Census Tract 320.02, King County, WA","14000US53033032002"
2017,"2017",0,"Total",41181,6750,"Census Tract 295.03, King County, WA","14000US53033029503"
2017,"2017",0,"Total",117135,10216,"Census Tract 224, King County, WA","14000US53033022400"
2017,"2017",0,"Total",73317,14147,"Census Tract 70, King County, WA","14000US53033007000"
2017,"2017",0,"Total",98068,21781,"Census Tract 319.09, King County, WA","14000US53033031909"
2017,"2017",0,"Total",156094,16643,"Census Tract 223, King County, WA","14000US53033022300"
2017,"2017",0,"Total",81454,3931.0000000000005,"Census Tract 71, King County, WA","14000US53033007100"
2017,"2017",0,"Total",46565,8161.000000000001,"Census Tract 295.04, King County, WA","14000US53033029504"
2017,"2017",0,"Total",126458,15419,"Census Tract 222.03, King County, WA","14000US53033022203"
2017,"2017",0,"Total",98324,9208,"Census Tract 72, King County, WA","14000US53033007200"
2017,"2017",0,"Total",70071,7752.999999999999,"Census Tract 319.08, King County, WA","14000US53033031908"
2017,"2017",0,"Total",73220,6504,"Census Tract 296.01, King County, WA","14000US53033029601"
2017,"2017",0,"Total",103253,17943,"Census Tract 222.02, King County, WA","14000US53033022202"
2017,"2017",0,"Total",94326,12538,"Census Tract 73, King County, WA","14000US53033007300"
2017,"2017",0,"Total",96826,9047,"Census Tract 319.07, King County, WA","14000US53033031907"
2017,"2017",0,"Total",98313,12456,"Census Tract 222.01, King County, WA","14000US53033022201"
2017,"2017",0,"Total",65217,10536,"Census Tract 74.01, King County, WA","14000US53033007401"
2017,"2017",0,"Total",114668,13620.000000000002,"Census Tract 296.02, King County, WA","14000US53033029602"
2017,"2017",0,"Total",104053,23396,"Census Tract 221.02, King County, WA","14000US53033022102"
2017,"2017",0,"Total",51225,9482,"Census Tract 74.02, King County, WA","14000US53033007402"
2017,"2017",0,"Total",109375,17420,"Census Tract 319.06, King County, WA","14000US53033031906"
2017,"2017",0,"Total",50611,10780,"Census Tract 297, King County, WA","14000US53033029700"
2017,"2017",0,"Total",112361,14498.999999999998,"Census Tract 221.01, King County, WA","14000US53033022101"
2017,"2017",0,"Total",65396,9793,"Census Tract 75, King County, WA","14000US53033007500"
2017,"2017",0,"Total",94805,8845,"Census Tract 319.04, King County, WA","14000US53033031904"
2017,"2017",0,"Total",88443,14209.999999999998,"Census Tract 220.06, King County, WA","14000US53033022006"
2017,"2017",0,"Total",74688,14408.000000000002,"Census Tract 76, King County, WA","14000US53033007600"
2017,"2017",0,"Total",60339,11703,"Census Tract 298.01, King County, WA","14000US53033029801"
2017,"2017",0,"Total",82582,13007,"Census Tract 220.05, King County, WA","14000US53033022005"
2017,"2017",0,"Total",113198,7094,"Census Tract 77, King County, WA","14000US53033007700"
2017,"2017",0,"Total",94844,22660,"Census Tract 319.03, King County, WA","14000US53033031903"
2017,"2017",0,"Total",87574,12388,"Census Tract 298.02, King County, WA","14000US53033029802"
2017,"2017",0,"Total",100606,11940,"Census Tract 220.03, King County, WA","14000US53033022003"
2017,"2017",0,"Total",155848,26975,"Census Tract 78, King County, WA","14000US53033007800"
2017,"2017",0,"Total",108705,6466,"Census Tract 318, King County, WA","14000US53033031800"
2017,"2017",0,"Total",95368,22885,"Census Tract 220.01, King County, WA","14000US53033022001"
2017,"2017",0,"Total",76652,11742,"Census Tract 79, King County, WA","14000US53033007900"
2017,"2017",0,"Total",82188,11988,"Census Tract 299.01, King County, WA","14000US53033029901"
2017,"2017",0,"Total",78458,8001.999999999999,"Census Tract 219.06, King County, WA","14000US53033021906"
2017,"2017",0,"Total",98250,34258,"Census Tract 80.01, King County, WA","14000US53033008001"
2017,"2017",0,"Total",82016,5435,"Census Tract 317.06, King County, WA","14000US53033031706"
2017,"2017",0,"Total",86286,8142,"Census Tract 299.02, King County, WA","14000US53033029902"
2017,"2017",0,"Total",89349,10662,"Census Tract 219.05, King County, WA","14000US53033021905"
2017,"2017",0,"Total",55136,9427,"Census Tract 80.02, King County, WA","14000US53033008002"
2017,"2017",0,"Total",108125,16938,"Census Tract 317.05, King County, WA","14000US53033031705"
2017,"2017",0,"Total",94167,6198,"Census Tract 219.04, King County, WA","14000US53033021904"
2017,"2017",0,"Total",79800,26732,"Census Tract 81, King County, WA","14000US53033008100"
2017,"2017",0,"Total",70783,9572,"Census Tract 300.03, King County, WA","14000US53033030003"
2017,"2017",0,"Total",86706,7812.000000000001,"Census Tract 219.03, King County, WA","14000US53033021903"
2017,"2017",0,"Total",79167,16033.999999999998,"Census Tract 82, King County, WA","14000US53033008200"
2017,"2017",0,"Total",93631,13434,"Census Tract 317.04, King County, WA","14000US53033031704"
2017,"2017",0,"Total",46425,7185,"Census Tract 300.04, King County, WA","14000US53033030004"
2017,"2017",0,"Total",77188,15384,"Census Tract 218.04, King County, WA","14000US53033021804"
2017,"2017",0,"Total",61058,14951.999999999998,"Census Tract 83, King County, WA","14000US53033008300"
2017,"2017",0,"Total",87012,14477,"Census Tract 317.03, King County, WA","14000US53033031703"
2017,"2017",0,"Total",78699,8966,"Census Tract 218.03, King County, WA","14000US53033021803"
2017,"2017",0,"Total",52066,7682.999999999999,"Census Tract 84, King County, WA","14000US53033008400"
2017,"2017",0,"Total",54330,6280,"Census Tract 300.05, King County, WA","14000US53033030005"
2017,"2017",0,"Total",89276,13355,"Census Tract 218.02, King County, WA","14000US53033021802"
2017,"2017",0,"Total",38713,9570,"Census Tract 85, King County, WA","14000US53033008500"
2017,"2017",0,"Total",98359,11969,"Census Tract 316.05, King County, WA","14000US53033031605"
2017,"2017",0,"Total",38875,8500,"Census Tract 300.06, King County, WA","14000US53033030006"
2017,"2017",0,"Total",78634,4370,"Census Tract 217, King County, WA","14000US53033021700"
2017,"2017",0,"Total",50774,14067,"Census Tract 86, King County, WA","14000US53033008600"
2017,"2017",0,"Total",95771,2731,"Census Tract 316.04, King County, WA","14000US53033031604"
2017,"2017",0,"Total",108708,12280,"Census Tract 216, King County, WA","14000US53033021600"
2017,"2017",0,"Total",69583,23609,"Census Tract 87, King County, WA","14000US53033008700"
2017,"2017",0,"Total",88750,12574,"Census Tract 301, King County, WA","14000US53033030100"
2017,"2017",0,"Total",121550,14057,"Census Tract 215, King County, WA","14000US53033021500"
2017,"2017",0,"Total",95455,22548,"Census Tract 88, King County, WA","14000US53033008800"
2017,"2017",0,"Total",90536,16225,"Census Tract 316.03, King County, WA","14000US53033031603"
2017,"2017",0,"Total",63009,17871,"Census Tract 302.01, King County, WA","14000US53033030201"
2017,"2017",0,"Total",106058,17320,"Census Tract 214, King County, WA","14000US53033021400"
