,ID.Year,Year,ID.Race,Race,Household.Income.by.Race,Household.Income.by.Race.Moe,Geography,ID.Geography,Sector
1817,2013,2013,0,Total,100152,12984,"Census Tract 51, King County, WA",14000US53033005100,B
1819,2013,2013,0,Total,62147,11921,"Census Tract 50, King County, WA",14000US53033005000,B
1823,2013,2013,0,Total,65000,3503,"Census Tract 49, King County, WA",14000US53033004900,B
1827,2013,2013,0,Total,86814,4843,"Census Tract 48, King County, WA",14000US53033004800,B
1829,2013,2013,0,Total,60625,10648,"Census Tract 47, King County, WA",14000US53033004700,B
1833,2013,2013,0,Total,102353,24166,"Census Tract 46, King County, WA",14000US53033004600,J
1837,2013,2013,0,Total,89333,17846,"Census Tract 45, King County, WA",14000US53033004500,B
1839,2013,2013,0,Total,54937,6073,"Census Tract 44, King County, WA",14000US53033004400,U
1843,2013,2013,0,Total,18414,5097,"Census Tract 43.02, King County, WA",14000US53033004302,U
1847,2013,2013,0,Total,56875,10612,"Census Tract 43.01, King County, WA",14000US53033004301,U
1849,2013,2013,0,Total,109663,9485,"Census Tract 42, King County, WA",14000US53033004200,U
1853,2013,2013,0,Total,118417,20174,"Census Tract 41, King County, WA",14000US53033004100,U
1859,2013,2013,0,Total,96520,12712,"Census Tract 39, King County, WA",14000US53033003900,U
1863,2013,2013,0,Total,82695,8310,"Census Tract 38, King County, WA",14000US53033003800,U
1867,2013,2013,0,Total,64522,4637,"Census Tract 36, King County, WA",14000US53033003600,J
1869,2013,2013,0,Total,81265,6863,"Census Tract 35, King County, WA",14000US53033003500,B
1873,2013,2013,0,Total,100956,12255,"Census Tract 34, King County, WA",14000US53033003400,B
1877,2013,2013,0,Total,73313,5275,"Census Tract 33, King County, WA",14000US53033003300,J
1879,2013,2013,0,Total,64303,6809,"Census Tract 32, King County, WA",14000US53033003200,B
1883,2013,2013,0,Total,97286,11671,"Census Tract 31, King County, WA",14000US53033003100,J
1887,2013,2013,0,Total,90372,8065,"Census Tract 30, King County, WA",14000US53033003000,J
1889,2013,2013,0,Total,90909,14116,"Census Tract 29, King County, WA",14000US53033002900,J
1893,2013,2013,0,Total,76073,6770,"Census Tract 28, King County, WA",14000US53033002800,J
1897,2013,2013,0,Total,103915,9260,"Census Tract 27, King County, WA",14000US53033002700,J
1899,2013,2013,0,Total,93125,13323,"Census Tract 26, King County, WA",14000US53033002600,U
1903,2013,2013,0,Total,100577,8085,"Census Tract 25, King County, WA",14000US53033002500,U
1907,2013,2013,0,Total,95288,16059,"Census Tract 24, King County, WA",14000US53033002400,U
1909,2013,2013,0,Total,100313,25678,"Census Tract 22, King County, WA",14000US53033002200,U
1913,2013,2013,0,Total,82422,6694,"Census Tract 21, King County, WA",14000US53033002100,U
1917,2013,2013,0,Total,70647,12289,"Census Tract 20, King County, WA",14000US53033002000,L
1919,2013,2013,0,Total,60927,12320,"Census Tract 19, King County, WA",14000US53033001900,L
1923,2013,2013,0,Total,91399,6825,"Census Tract 18, King County, WA",14000US53033001800,N
1927,2013,2013,0,Total,63554,6622,"Census Tract 17.02, King County, WA",14000US53033001702,J
1929,2013,2013,0,Total,75220,7758,"Census Tract 17.01, King County, WA",14000US53033001701,J
1933,2013,2013,0,Total,80038,10008,"Census Tract 16, King County, WA",14000US53033001600,N
1937,2013,2013,0,Total,97284,13108,"Census Tract 15, King County, WA",14000US53033001500,J
1939,2013,2013,0,Total,71642,3623,"Census Tract 14, King County, WA",14000US53033001400,N
1943,2013,2013,0,Total,53030,5318,"Census Tract 13, King County, WA",14000US53033001300,N
1947,2013,2013,0,Total,37727,4861,"Census Tract 12, King County, WA",14000US53033001200,L
1949,2013,2013,0,Total,81071,17492,"Census Tract 11, King County, WA",14000US53033001100,L
1953,2013,2013,0,Total,67837,8612,"Census Tract 10, King County, WA",14000US53033001000,L
1957,2013,2013,0,Total,105347,28697,"Census Tract 9, King County, WA",14000US53033000900,L
1959,2013,2013,0,Total,78631,12483,"Census Tract 8, King County, WA",14000US53033000800,L
1963,2013,2013,0,Total,50893,5041,"Census Tract 7, King County, WA",14000US53033000700,L
1967,2013,2013,0,Total,59790,6214,"Census Tract 6, King County, WA",14000US53033000600,N
1969,2013,2013,0,Total,126719,29832,"Census Tract 5, King County, WA",14000US53033000500,N
1973,2013,2013,0,Total,49016,5653,"Census Tract 4.02, King County, WA",14000US53033000402,N
1977,2013,2013,0,Total,31059,1711,"Census Tract 4.01, King County, WA",14000US53033000401,N
1979,2013,2013,0,Total,64455,14652,"Census Tract 3, King County, WA",14000US53033000300,N
1983,2013,2013,0,Total,53014,4600,"Census Tract 2, King County, WA",14000US53033000200,L
1984,2013,2013,0,Total,40313,9941,"Census Tract 1, King County, WA",14000US53033000100,L
