,ID.Year,Year,ID.Race,Race,Household.Income.by.Race,Household.Income.by.Race.Moe,Geography,ID.Geography,Sector
430,2016,2016,0,Total,58958,12504,"Census Tract 104.01, King County, WA",14000US53033010401,R
432,2016,2016,0,Total,70655,8762,"Census Tract 119, King County, WA",14000US53033011900,S
433,2016,2016,0,Total,58321,9153,"Census Tract 103, King County, WA",14000US53033010300,R
435,2016,2016,0,Total,90688,10393,"Census Tract 120, King County, WA",14000US53033012000,W
436,2016,2016,0,Total,92714,10465,"Census Tract 102, King County, WA",14000US53033010200,R
439,2016,2016,0,Total,113958,17493,"Census Tract 121, King County, WA",14000US53033012100,W
440,2016,2016,0,Total,59193,6040,"Census Tract 101, King County, WA",14000US53033010100,R
443,2016,2016,0,Total,68579,7303,"Census Tract 100.02, King County, WA",14000US53033010002,R
446,2016,2016,0,Total,61699,7834,"Census Tract 100.01, King County, WA",14000US53033010001,R
450,2016,2016,0,Total,69423,8141,"Census Tract 99, King County, WA",14000US53033009900,W
453,2016,2016,0,Total,84299,18629,"Census Tract 98, King County, WA",14000US53033009800,W
456,2016,2016,0,Total,107917,13621,"Census Tract 97.02, King County, WA",14000US53033009702,W
460,2016,2016,0,Total,94500,14987,"Census Tract 97.01, King County, WA",14000US53033009701,W
463,2016,2016,0,Total,85216,12188,"Census Tract 96, King County, WA",14000US53033009600,W
466,2016,2016,0,Total,91167,23967,"Census Tract 95, King County, WA",14000US53033009500,R
470,2016,2016,0,Total,49879,14652,"Census Tract 94, King County, WA",14000US53033009400,R
473,2016,2016,0,Total,67617,11067,"Census Tract 93, King County, WA",14000US53033009300,O
476,2016,2016,0,Total,26500,7870,"Census Tract 92, King County, WA",14000US53033009200,K
480,2016,2016,0,Total,29418,3032,"Census Tract 91, King County, WA",14000US53033009100,K
483,2016,2016,0,Total,48063,8743,"Census Tract 90, King County, WA",14000US53033009000,G
486,2016,2016,0,Total,81098,6170,"Census Tract 89, King County, WA",14000US53033008900,G
490,2016,2016,0,Total,78929,10861,"Census Tract 88, King County, WA",14000US53033008800,G
493,2016,2016,0,Total,59315,7156,"Census Tract 87, King County, WA",14000US53033008700,G
496,2016,2016,0,Total,48750,15237,"Census Tract 86, King County, WA",14000US53033008600,G
500,2016,2016,0,Total,32885,7182,"Census Tract 85, King County, WA",14000US53033008500,G
503,2016,2016,0,Total,49857,5660,"Census Tract 84, King County, WA",14000US53033008400,E
506,2016,2016,0,Total,52878,6766,"Census Tract 83, King County, WA",14000US53033008300,E
510,2016,2016,0,Total,67500,17843,"Census Tract 82, King County, WA",14000US53033008200,M
513,2016,2016,0,Total,76320,19214,"Census Tract 81, King County, WA",14000US53033008100,M
516,2016,2016,0,Total,42480,14444,"Census Tract 80.02, King County, WA",14000US53033008002,D
520,2016,2016,0,Total,91005,9478,"Census Tract 80.01, King County, WA",14000US53033008001,D
523,2016,2016,0,Total,70096,17871,"Census Tract 79, King County, WA",14000US53033007900,C
526,2016,2016,0,Total,155000,30652,"Census Tract 78, King County, WA",14000US53033007800,C
530,2016,2016,0,Total,110872,9385,"Census Tract 77, King County, WA",14000US53033007700,C
533,2016,2016,0,Total,69572,10657,"Census Tract 76, King County, WA",14000US53033007600,C
536,2016,2016,0,Total,62980,5788,"Census Tract 75, King County, WA",14000US53033007500,E
540,2016,2016,0,Total,48378,4875,"Census Tract 74.02, King County, WA",14000US53033007402,E
543,2016,2016,0,Total,69130,7789,"Census Tract 74.01, King County, WA",14000US53033007401,E
546,2016,2016,0,Total,84153,21619,"Census Tract 73, King County, WA",14000US53033007300,D
550,2016,2016,0,Total,91300,5023,"Census Tract 72, King County, WA",14000US53033007200,D
553,2016,2016,0,Total,77358,5901,"Census Tract 71, King County, WA",14000US53033007100,Q
556,2016,2016,0,Total,72218,9045,"Census Tract 70, King County, WA",14000US53033007000,Q
560,2016,2016,0,Total,108341,23713,"Census Tract 69, King County, WA",14000US53033006900,Q
563,2016,2016,0,Total,113750,14402,"Census Tract 68, King County, WA",14000US53033006800,Q
566,2016,2016,0,Total,100625,14194,"Census Tract 67, King County, WA",14000US53033006700,Q
570,2016,2016,0,Total,85625,12494,"Census Tract 66, King County, WA",14000US53033006600,D
573,2016,2016,0,Total,94225,11041,"Census Tract 65, King County, WA",14000US53033006500,C
576,2016,2016,0,Total,155000,28376,"Census Tract 64, King County, WA",14000US53033006400,C
580,2016,2016,0,Total,152037,13110,"Census Tract 63, King County, WA",14000US53033006300,C
583,2016,2016,0,Total,144150,21458,"Census Tract 62, King County, WA",14000US53033006200,C
585,2016,2016,0,Total,84087,13014,"Census Tract 61, King County, WA",14000US53033006100,D
590,2016,2016,0,Total,102879,19725,"Census Tract 60, King County, WA",14000US53033006000,Q
594,2016,2016,0,Total,88706,11827,"Census Tract 59, King County, WA",14000US53033005900,Q
595,2016,2016,0,Total,66455,11649,"Census Tract 58.02, King County, WA",14000US53033005802,Q
596,2016,2016,0,Total,51907,4408,"Census Tract 111.01, King County, WA",14000US53033011101,S
600,2016,2016,0,Total,69865,8705,"Census Tract 58.01, King County, WA",14000US53033005801,Q
604,2016,2016,0,Total,102760,14454,"Census Tract 57, King County, WA",14000US53033005700,Q
605,2016,2016,0,Total,159652,11943,"Census Tract 56, King County, WA",14000US53033005600,Q
610,2016,2016,0,Total,86250,16894,"Census Tract 54, King County, WA",14000US53033005400,B
614,2016,2016,0,Total,10865,7410,"Census Tract 53.02, King County, WA",14000US53033005302,U
615,2016,2016,0,Total,14155,4738,"Census Tract 53.01, King County, WA",14000US53033005301,U
620,2016,2016,0,Total,40208,9794,"Census Tract 52, King County, WA",14000US53033005200,B
