기간	자치구	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적
기간	자치구	출동건수	출동건수	출동건수	출동건수	출동건수	출동건수	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원
기간	자치구	계	처리	처리	처리	처리	미처리(자체처리허위등)	사상별	사상별	사상별	사상별	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원
기간	자치구	계	계	인명구조	안전조치	기타활동	미처리(자체처리허위등)	계	사망	부상	기타	계	화재	교통사고	수난사고	기계사고	건물사고	승강기사고	산악사고	갇힘사고	폭발사고	기타
2011	용산구	3,336	2,689	331	1,799	559	647	542	16	79	447	542	92	47	54	6	13	162	-	111	-	57
2011	성동구	2,662	1,958	244	1,107	607	704	418	6	90	322	418	27	52	28	5	27	168	-	52	-	59
2011	광진구	3,472	2,756	393	1,494	869	716	626	23	120	483	626	57	46	54	10	46	170	32	157	4	50
2011	동대문구	3,959	3,231	280	1,949	1,002	728	604	5	77	522	604	36	70	2	4	19	264	1	131	-	77
2011	중랑구	4,630	4,040	365	2,706	969	590	554	8	111	435	554	51	40	1	5	38	166	36	129	-	88
2011	성북구	4,233	3,444	350	1,854	1,240	789	607	10	91	506	607	30	52	-	-	33	256	37	148	-	51
2011	강북구	2,652	2,232	279	1,257	696	420	409	6	167	236	409	54	14	-	11	26	99	77	75	4	49
2011	도봉구	2,439	2,202	472	1,167	563	237	703	29	276	398	703	39	80	3	8	22	165	173	130	-	83
2011	노원구	5,276	4,828	798	3,226	804	448	1,197	16	306	875	1,197	26	94	3	7	72	332	154	285	2	222
2011	은평구	4,578	3,607	565	1,602	1,440	971	980	5	155	820	980	27	32	1	10	34	208	112	179	-	377
2011	서대문구	3,471	3,004	408	2,019	577	467	701	8	126	567	701	35	119	6	2	81	184	24	134	-	116
2011	마포구	4,586	3,971	544	2,154	1,273	615	841	19	133	689	841	27	98	134	11	24	239	1	158	-	149
2011	양천구	2,890	2,558	394	1,118	1,046	332	573	4	92	477	573	74	41	1	4	65	179	1	136	-	72
2011	강서구	3,850	3,163	629	1,586	948	687	1,641	9	300	1,332	1,641	120	190	37	8	30	866	7	283	-	100
2011	구로구	3,188	2,581	458	1,256	867	607	881	1	85	795	881	42	53	1	3	44	374	4	180	-	180
2011	금천구	2,509	2,055	268	1,466	321	454	498	3	48	447	498	12	24	-	5	29	241	13	108	-	66
2011	영등포구	4,233	3,556	642	1,458	1,456	677	1,680	50	181	1,449	1,680	639	94	107	13	68	436	-	163	1	159
2011	동작구	3,574	3,003	515	1,804	684	571	882	19	127	736	882	80	67	17	7	72	264	7	105	4	259
2011	관악구	5,642	4,881	659	2,010	2,212	761	1,041	16	212	813	1,041	48	29	-	7	79	319	237	203	-	119
2011	서초구	5,028	3,757	424	2,439	894	1,271	649	13	198	438	649	37	97	18	8	42	183	32	103	-	129
2011	강남구	5,662	4,318	775	1,694	1,849	1,344	1,182	11	186	985	1,182	141	108	26	12	34	444	15	264	3	135
2011	송파구	5,346	4,307	430	2,482	1,395	1,039	667	12	94	561	667	14	52	29	9	38	317	10	124	-	74
2011	강동구	4,316	3,592	314	1,215	2,063	724	470	10	77	383	470	16	30	8	7	15	225	2	101	-	66
2011	기타	34	21	3	12	6	13	3	-	1	2	3	-	-	-	-	1	-	1	1	-	-
2012	합계	124,889	105,273	11,495	60,621	33,157	19,616	19,676	278	3,395	16,003	19,676	2,964	1,674	431	157	46	6,422	970	4,380	11	2,621
2012	종로구	4,042	3,438	343	2,542	553	604	605	5	137	463	605	46	53	-	14	-	263	85	85	-	59
2012	중구	3,210	2,787	319	1,149	1,319	423	554	4	76	474	554	18	25	4	7	3	224	-	115	-	158
2012	용산구	4,294	3,633	409	2,365	859	661	662	11	116	535	662	106	86	94	2	1	150	-	140	-	83
2012	성동구	3,086	2,569	225	1,508	836	517	382	9	83	290	382	79	49	16	7	-	137	1	63	-	30
2012	광진구	4,378	3,670	362	1,740	1,568	708	533	18	117	398	533	48	54	42	8	-	154	31	161	-	35
2012	동대문구	4,990	3,809	296	2,356	1,157	1,181	622	9	69	544	622	106	47	-	4	2	291	-	120	-	52
2012	중랑구	5,605	4,986	351	3,054	1,581	619	571	7	112	452	571	44	61	2	2	1	200	39	157	-	65
2012	성북구	6,676	5,371	448	3,706	1,217	1,305	758	3	199	556	758	77	37	-	4	-	271	25	204	-	140
2012	강북구	4,418	3,786	253	2,281	1,252	632	368	7	115	246	368	61	31	-	1	-	86	66	79	-	44
2012	도봉구	3,402	3,163	496	1,677	990	239	687	9	210	468	687	65	37	-	8	2	169	179	155	1	71
2012	노원구	5,996	5,462	884	3,545	1,033	534	1,319	11	256	1,052	1,319	40	77	-	5	-	364	147	400	1	285
2012	은평구	5,894	5,069	627	2,446	1,996	825	928	8	172	748	928	13	60	-	8	-	243	119	182	-	303
2012	서대문구	4,012	3,628	382	2,560	686	384	844	9	154	681	844	204	147	-	5	-	208	18	187	-	75
2012	마포구	5,569	5,011	605	2,889	1,517	558	885	18	180	687	885	12	130	52	4	8	296	-	271	4	108
2012	양천구	3,482	3,095	368	1,348	1,379	387	612	8	58	546	612	110	28	3	5	1	212	4	177	1	71
2012	강서구	4,790	4,023	751	2,370	902	767	1,277	18	299	960	1,277	39	211	33	9	3	504	9	333	-	136
2012	구로구	4,182	3,307	389	1,713	1,205	875	584	3	73	508	584	29	29	2	1	-	256	3	193	-	71
2012	금천구	3,434	2,831	240	2,010	581	603	334	2	94	238	334	5	39	-	5	12	111	19	96	-	47
2012	영등포구	5,833	5,027	640	3,313	1,074	806	1,571	40	162	1,369	1,571	556	98	110	6	-	482	-	177	-	142
2012	동작구	5,287	4,344	315	2,663	1,366	943	506	11	96	399	506	75	42	13	8	-	160	3	118	-	87
2012	관악구	7,251	6,147	684	2,495	2,968	1,104	985	12	159	814	985	56	30	-	4	-	320	156	296	1	122
2012	서초구	6,293	5,010	382	3,884	744	1,283	545	13	99	433	545	35	54	10	1	1	261	31	95	-	57
2012	강남구	7,429	5,799	880	2,559	2,360	1,630	1,331	14	163	1,154	1,331	198	117	16	9	12	479	10	270	1	219
2012	송파구	6,375	5,125	518	2,682	1,925	1,250	1,790	20	126	1,644	1,790	939	90	26	27	-	381	17	207	2	101
2012	강동구	4,907	4,140	319	1,744	2,077	767	411	9	64	338	411	3	34	8	3	-	200	6	99	-	58
2012	기타	54	43	9	22	12	11	12	-	6	6	12	-	8	-	-	-	-	2	-	-	2
2013	합계	128,792	111,819	12,791	71,129	27,899	16,973	22,334	324	3,238	18,772	22,334	3,207	2,157	678	201	65	6,297	1,200	4,813	38	3,678
2013	종로구	4,569	3,890	371	2,619	900	679	568	5	134	429	568	60	77	-	6	2	184	92	84	-	63
2013	중구	3,143	2,763	307	1,524	932	380	543	4	57	482	543	109	48	-	26	2	173	1	84	-	100
2013	용산구	4,068	3,506	378	2,615	513	562	524	14	113	397	524	23	99	85	8	-	122	1	118	-	68
2013	성동구	3,029	2,484	173	1,460	851	545	269	9	34	226	269	33	37	22	4	-	99	2	35	-	37
2013	광진구	4,134	3,579	382	1,921	1,276	555	568	18	98	452	568	74	45	50	4	-	122	45	140	-	88
2013	동대문구	5,413	4,304	361	2,877	1,066	1,109	479	6	58	415	479	5	49	1	9	2	186	4	144	2	77
2013	중랑구	5,182	4,386	327	2,833	1,226	796	565	5	107	453	565	83	61	2	6	-	190	36	112	-	75
2013	성북구	6,494	5,868	435	4,109	1,324	626	782	6	80	696	782	99	71	-	6	-	272	17	210	-	107
2013	강북구	4,997	4,531	283	2,807	1,441	466	413	4	113	296	413	48	28	-	5	-	114	84	90	-	44
2013	도봉구	4,135	3,873	578	2,583	712	262	779	12	202	565	779	-	32	1	15	-	234	238	187	-	72
